"","City","Country","total_area","Rank","Evaluation","total_pop","GUA_capita","Country.name","Regional.indicator","Ladder.score","Standard.error.of.ladder.score","upperwhisker","lowerwhisker","Logged.GDP.per.capita","Social.support","Healthy.life.expectancy","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","Ladder.score.in.Dystopia","Explained.by..Log.GDP.per.capita","Explained.by..Social.support","Explained.by..Healthy.life.expectancy","Explained.by..Freedom.to.make.life.choices","Explained.by..Generosity","Explained.by..Perceptions.of.corruption","Dystopia...residual","GUA_capita_buf"
"1","Århus","DK",843904056.385246,2,7.625,662467,1273.88089729035,"Denmark","Western Europe",7.645599842,0.033492286,7.711244583,7.579955101,10.77400112,0.955990791,72.40250397,0.951444268,0.066201776,0.168489456,1.972316742,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328,2.432740688,6545.6975480725
"2","Bergen","NO",2308112263.64031,6,7.527,415439,5555.83915722961,"Norway","Western Europe",7.487999916,0.034837384,7.55628109,7.419718742,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.263218194,1.972316742,1.42420733,1.495172501,1.008071899,0.670200884,0.287985086,0.434100568,2.168266296,8531.21713124171
"3","Bruxelles / Brussel","BE",388483233.643951,40,6.674,2495224,155.690725018656,"Belgium","Western Europe",6.863500118,0.034370355,6.930866241,6.796133995,10.6736393,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952,1.972316742,1.295842767,1.398677588,0.964901149,0.499805421,0.146966159,0.208724052,2.348626614,1091.09179509606
"4","Cork","IE",308422543.392132,32,6.946,345320,893.149957697592,"Ireland","Western Europe",7.093699932,0.039863452,7.171832085,7.01556778,11.16097832,0.942081571,72.30078888,0.886982977,0.145784974,0.357184172,1.972316742,1.446886778,1.470596433,0.975670695,0.587779939,0.295426995,0.373433262,1.943878174,8511.02553651229
"5","Dublin","IE",1275431324.86469,22,7.096,1824498,699.058768419967,"Ireland","Western Europe",7.093699932,0.039863452,7.171832085,7.01556778,11.16097832,0.942081571,72.30078888,0.886982977,0.145784974,0.357184172,1.972316742,1.446886778,1.470596433,0.975670695,0.587779939,0.295426995,0.373433262,1.943878174,1806.15573974195
"6","Göteborg","SE",2635311176.50579,24,7.08,1036453,2542.62487204513,"Sweden","Western Europe",7.353499889,0.036234196,7.424519062,7.282480717,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,1.972316742,1.322235227,1.433347702,0.986470461,0.650297701,0.272827893,0.442066371,2.246299267,2931.76217205776
"7","Helsinki","FI",4946113552.72737,1,7.828,1482949,3335.32276074724,"Finland","Western Europe",7.808700085,0.031156305,7.869766235,7.747633934,10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019,0.195444584,1.972316742,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262,2.762835026,3365.46776800128
"8","København","DK",564420317.532972,5,7.53,1647280,342.637752861063,"Denmark","Western Europe",7.645599842,0.033492286,7.711244583,7.579955101,10.77400112,0.955990791,72.40250397,0.951444268,0.066201776,0.168489456,1.972316742,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328,2.432740688,1484.78913421014
"9","London","UK",937736501.689264,36,6.782,11782002,79.5905909444986,"United Kingdom","Western Europe",7.164500237,0.037161909,7.237337589,7.091662884,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.435915917,1.972316742,1.273061037,1.457844973,0.97570008,0.525168657,0.373433441,0.322601646,2.236721992,484.154459597504
"10","Oslo","NO",4783074622.25474,7,7.464,1333913,3585.74706315535,"Norway","Western Europe",7.487999916,0.034837384,7.55628109,7.419718742,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.263218194,1.972316742,1.42420733,1.495172501,1.008071899,0.670200884,0.287985086,0.434100568,2.168266296,10233.8682097209
"11","Paris","FR",2797507485.61579,43,6.635,11493011,243.409449935773,"France","Western Europe",6.663799763,0.037576791,6.737450123,6.590149403,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,1.972316742,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237,2.053198338,1096.40993261096
"12","Reykjavík","IS",2371311371.07775,12,7.317,255362,9286.07769001553,"Iceland","Western Europe",7.504499912,0.059615862,7.621346951,7.387652874,10.77255917,0.974669576,73,0.948891878,0.246944219,0.711709738,1.972316742,1.326501608,1.547567487,1.000843406,0.661980748,0.362330228,0.144540772,2.460688114,21646.9156152973
"13","Stockholm","SE",4113714341.77344,9,7.373,2341099,1757.17231171063,"Sweden","Western Europe",7.353499889,0.036234196,7.424519062,7.282480717,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,1.972316742,1.322235227,1.433347702,0.986470461,0.650297701,0.272827893,0.442066371,2.246299267,2122.75272226772
"14","Zürich","CH",378786868.925217,4,7.541,1355636,279.416354334952,"Switzerland","Western Europe",7.559899807,0.035014171,7.628527641,7.491271973,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,1.972316742,1.39077425,1.472403407,1.040533185,0.62895447,0.269055754,0.407945901,2.35026741,1268.80196197219
